Time,PVPower,LoadDemand,LoadForecast
1,0,514.242,512.7428
2,0,514.2422,534.0394
3,0,514.242,551.8364
4,0,514.2422,557.3576
5,0,526.4643,609.82367
6,0,600.7528,846.47144
7,0.542,874.89905,737.813
8,0.703,1446.2823,1456.6285
9,0.796,2712.8062,2693.6414
10,0.798,2780.8066,2732.588
11,0.827,2751.2795,2769.118
12,0.835,2758.5168,2708.781
13,0.824,2661.6304,2670.336
14,0.815,2736.1028,2731.3984
15,0.761,2707.4155,2714.976
16,0.707,2685.555,2717.671
17,0.217,2578.1626,2718.0427
18,0,2233.365,2314.705
19,0,1988.9613,1948.2058
20,0,1850.4457,1846.2969
21,0,1379.2605,1458.3982
22,0,1251.4924,1116.3353
23,0,600.74945,602.29596
24,0,526.46436,538.45685
1,0,514.242,497.8793
2,0,514.2422,488.46115
3,0,514.242,497.87183
4,0,514.2422,502.38724
5,0,526.4643,514.8611
6,0.003,600.7529,590.3529
7,0.481,773.4062,1006.5504
8,0.741,972.9886,1090.4731
9,0.754,2317.6606,2359.266
10,0.803,2363.9736,2516.8098
11,0.826,2209.4688,2448.5974
12,0.821,2241.693,2246.857
13,0.813,2328.193,2254.9636
14,0.799,2484.9238,2527.4514
15,0.793,2443.4534,2448.3262
16,0.671,2386.7878,2366.5796
17,0.158,2524.5693,2484.3364
18,0,2216.6558,2262.0088
19,0,1702.0692,1836.1915
20,0,1645.531,1671.2257
21,0,1347.0807,1297.8083
22,0,1273.9324,1224.7062
23,0,600.74945,563.7008
24,0,526.46423,514.4611
1,0,514.2422,504.2158
2,0,514.24207,495.00757
3,0,514.2422,499.03232
4,0,514.24207,499.8789
5,0,524.29517,515.1393
6,0,602.9243,588.52594
7,0.527,926.908,1007.67896
8,0.683,1199.0431,1208.0569
9,0.781,2549.3784,2580.1182
10,0.822,2553.696,2630.018
11,0.839,2536.4202,2575.8152
12,0.842,2576.1208,2578.004
13,0.836,2497.0112,2528.5159
14,0.838,2621.4856,2627.9248
15,0.792,2610.8616,2626.7317
16,0.645,2601.7249,2580.4287
17,0.282,2616.378,2589.233
18,0,2318.2883,2341.8215
19,0,1941.2322,1945.9496
20,0,1896.9332,1894.3243
21,0,1530.0684,1498.397
22,0,1484.5773,1503.3651
23,0,600.7495,612.0745
24,0,526.4643,536.69147
1,0,512.073,520.2853
2,0,514.2422,484.73886
3,0,514.24207,507.96387
4,0,514.2422,509.03592
5,0,526.4643,515.95276
6,0,602.92413,594.53314
7,0.554,799.17065,1013.479
8,0.713,1166.6222,1112.2833
9,0.819,2570.0771,2527.3333
10,0.857,2596.8816,2647.5742
11,0.854,2576.131,2592.886
12,0.859,2618.233,2607.7798
13,0.839,2546.478,2564.0654
14,0.842,2661.0532,2670.2617
15,0.782,2671.06,2647.0276
16,0.632,2682.137,2672.9458
17,0.265,2718.5342,2650.7864
18,0,2440.5332,2436.7952
19,0,2019.3215,2056.909
20,0,1955.2507,1984.159
21,0,1651.0276,1643.5653
22,0,1544.1077,1623.2389
23,0,600.7495,599.1848
24,0,526.46436,534.38074
1,0,514.242,525.9078
2,0,514.2421,491.4267
3,0,514.242,510.43307
4,0,514.2421,509.8135
5,0,526.4642,518.2245
6,0,600.7527,595.90027
7,0.491,778.76276,1006.55005
8,0.741,1361.7954,1094.6672
9,0.764,2622.1072,2618.2637
10,0.819,2653.327,2689.8848
11,0.833,2657.5244,2656.726
12,0.825,2692.1326,2642.715
13,0.831,2607.0828,2644.9778
14,0.816,2690.8098,2685.5515
15,0.747,2684.8267,2672.5627
16,0.687,2679.426,2658.705
17,0.215,2733.3223,2684.0923
18,0,2484.8726,2502.9639
19,0,2037.96,2115.8254
20,0,1973.1298,2012.9423
21,0,1638.2651,1669.6201
22,0,1570.792,1566.3718
23,0,600.7494,633.4909
24,0,526.4644,535.90497
1,0,414.5606,526.7072
2,0,414.56076,458.93176
3,0,414.5606,453.7963
4,0,412.3915,437.6532
5,0,426.78296,419.6016
6,0.009,453.4019,444.47815
7,0.423,1173.5743,1214.6056
8,0.695,1245.124,1286.8989
9,0.775,1755.679,1501.5028
10,0.784,1748.4502,1775.5032
11,0.809,1727.4153,1736.9392
12,0.186,1747.8917,1763.1371
13,0.66,1767.3209,1733.443
14,0.821,1794.3645,1734.8738
15,0.767,1297.4884,1248.7335
